"x" "y" "type"
"1" 0.527252696453075 0.0599031739898294 "CSs"
"2" 0.589635314002161 0.0674614246733187 "CSs"
"3" 0.652224737573425 0.074682225059071 "CSs"
"8" 0.249375671395087 0.0370381784795513 "SG"
"9" 0.337429755185603 0.050213034876943 "SG"
"10" 0.402481929554599 0.0605467381053532 "SG"
"11" 0.457540088991162 0.0668042729138811 "SG"
"20" 0.208658913858073 0.0184265086711773 "MS"
"21" 0.321731992703154 0.0288616027729762 "MS"
"22" 0.34360056555218 0.0286410242513555 "MS"
"23" 0.448849379418695 0.0365858339498737 "MS"
"24" 0.360242893034763 0.0194142010432316 "MS"
"25" 0.439637727410184 0.0234252301365666 "MS"
"26" 0.521043266903951 0.0258950338021077 "MS"
"31" 0.448121943326722 0.0618163085536009 "RS"
"32" 0.491797300173431 0.065249969009198 "RS"
"33" 0.568760886504844 0.0722564837328602 "RS"
"34" 0.492056831078883 0.0528538078008741 "RS"
"35" 0.532959296995704 0.0567200959024192 "RS"
"36" 0.546595649989453 0.0608958773869557 "RS"
"37" 0.603756861245164 0.067496851720486 "RS"
"38" 0.23452493665112 0.0424264071870724 "SG"
"39" 0.251575133943164 0.0465654377136397 "SG"
"40" 0.283241744252797 0.0497554825657651 "SG"
"41" 0.330184742279725 0.0522267090403102 "SG"
"42" 0.310868962848282 0.040999648665163 "SW"
"43" 0.34046102306419 0.0422245215959691 "SW"
"44" 0.411724155255133 0.0536916386874584 "SW"
"45" 0.491594830345756 0.0567303523270836 "SW"
"54" 0.0444486411747806 0.0173548085376456 "SC"
"55" 0.0618655270296268 0.0209446143312029 "SC"
"56" 0.0730508334574698 0.021907436946178 "SC"
"57" 0.12251127288071 0.0248488716760744 "SC"
